"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/Orgin_stuff/StarterContent/Props/Materials/M_TableRound.M_TableRound","49","13","13","1","5.361827","0","13"
"/Game/Orgin_stuff/StarterContent/Props/Materials/M_Frame.M_Frame","49","8","8","1","1.521870","0","8"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","49","7","7","1","1.227744","0","7"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","49","7","7","1","1.224753","0","7"
"/Game/Orgin_stuff/StarterContent/Props/Materials/M_Door.M_Door","49","8","8","1","1.420781","0","8"
"/Game/Orgin_stuff/StarterContent/Materials/M_Glass.M_Glass","49","17","17","1","4.253153","0","17"
"/Game/Assets/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","49","26","30","2","0.000000","0","30"
"/Game/Orgin_stuff/StarterContent/Props/Materials/M_Chair.M_Chair","49","13","13","1","8.268516","0","13"
"/Game/Assets/Materials/Glowing_Portal.Glowing_Portal","49","8","8","1","0.000000","0","8"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","49","16","16","2","3.647205","0","16"
